"","Código da Província","Província","Código do Mun.","Município","Sexo_Condicao","Total_Almas","Raças_Branco","Raças_Pardo","Raças_Preto","Raças_Caboclo","Estado civil_Solteiro","Estado civil_Casado","Estado civil_Viúvo","Religião_Católicos","Religião_Acatólico","Nacionalidade_Brasileira","Nacionalidade_Estrangeira","Instrução_Sabem Ler e Escrever","Instrução_Analfabetos","Instrução - população escolar de 6 a 15 anos_Frequentam Escola","Instrução - população escolar de 6 a 15 anos_Não Frequentam Escola","Instrução - população escolar de 6 a 15 anos_S./ Inf. da Frequência Escolar","Defeitos físicos_Cegos","Defeitos físicos_Surdos-Mudos","Defeitos físicos_Aleijados","Defeitos físicos_Dementes","Defeitos físicos_Alienados","Ausentes_Ausentes","Transeuntes_Transeuntes","Faixa Etária_1 mês","Faixa Etária_2 meses","Faixa Etária_3 meses","Faixa Etária_4 meses","Faixa Etária_5 meses","Faixa Etária_6 meses","Faixa Etária_7 meses","Faixa Etária_8 meses","Faixa Etária_9 meses","Faixa Etária_10 meses","Faixa Etária_11 meses","Faixa Etária_1 ano","Faixa Etária_2 anos","Faixa Etária_3 anos","Faixa Etária_4 anos","Faixa Etária_5 anos","Faixa Etária_6-10 anos","Faixa Etária_11-15 anos","Faixa Etária_16-20 anos","Faixa Etária_21-25 anos","Faixa Etária_26-30 anos","Faixa Etária_31-40 anos","Faixa Etária_41-50 anos","Faixa Etária_51-60 anos","Faixa Etária_61-70 anos","Faixa Etária_71-80 anos","Faixa Etária_81-90 anos","Faixa Etária_91-100 anos","Faixa Etária_Maiores de 100","Faixa Etária_S/inf.","Brasileiros segundo origem_Brasileiros adotivos","Brasileiros segundo origem_Estrang. Naturalizados","Brasileiros segundo origem_Amazonas","Brasileiros segundo origem_Pará","Brasileiros segundo origem_Maranhão","Brasileiros segundo origem_Piauhy","Brasileiros segundo origem_Ceará","Brasileiros segundo origem_Rio Grande do Norte","Brasileiros segundo origem_Parahyba","Brasileiros segundo origem_Pernambuco","Brasileiros segundo origem_Alagoas","Brasileiros segundo origem_Sergipe","Brasileiros segundo origem_Bahia","Brasileiros segundo origem_Espírito Santo","Brasileiros segundo origem_Rio de Janeiro","Brasileiros segundo origem_São Paulo","Brasileiros segundo origem_Paraná","Brasileiros segundo origem_Santa Catharina","Brasileiros segundo origem_Rio Grande do Sul","Brasileiros segundo origem_Minas Geraes","Brasileiros segundo origem_Goyaz","Brasileiros segundo origem_Matto Grosso","Brasileiros segundo origem_S./Inf. de Origem","Estrangeiros segundo origem_Africanos","Estrangeiros segundo origem_Alemães","Estrangeiros segundo origem_Austríacos","Estrangeiros segundo origem_Argentinos","Estrangeiros segundo origem_Belgas","Estrangeiros segundo origem_Bolivianos","Estrangeiros segundo origem_Chineses","Estrangeiros segundo origem_Dinamarqueses","Estrangeiros segundo origem_Franceses","Estrangeiros segundo origem_Gregos","Estrangeiros segundo origem_Espanhóis","Estrangeiros segundo origem_Holandeses","Estrangeiros segundo origem_Húngaros","Estrangeiros segundo origem_Ingleses","Estrangeiros segundo origem_Italianos","Estrangeiros segundo origem_Japoneses","Estrangeiros segundo origem_Mexicanos","Estrangeiros segundo origem_Norte-americanos","Estrangeiros segundo origem_Orientais","Estrangeiros segundo origem_Paraguaios","Estrangeiros segundo origem_Persas","Estrangeiros segundo origem_Peruanos","Estrangeiros segundo origem_Portugueses","Estrangeiros segundo origem_Russos","Estrangeiros segundo origem_Suissos","Estrangeiros segundo origem_Suecos","Estrangeiros segundo origem_Turcos","Estrangeiros segundo origem_Estrang. S./ Inf.","Prof. liberais_Seculares (religiosos)","Prof. liberais_Homens (relig. Regular)","Prof. liberais_Mulheres (relig. Regular)","Prof. liberais_Juizes","Prof. liberais_Advogados","Prof. liberais_Notários e escrivães","Prof. liberais_Procuradores","Prof. liberais_Oficiais de justiça","Prof. liberais_Médicos","Prof. liberais_Cirurgiões","Prof. liberais_Farmacêuticos","Prof. liberais_Parteiros","Prof. liberais_Professores e homens de letras","Prof. liberais_Empregados públicos","Prof. liberais_Artistas","Outras ocupações_Militares","Outras ocupações_Marítimos","Outras ocupações_Pescadores","Outras ocupações_Capitalistas e proprietários","Prof. Industriais e comerciais_Manufatureiros e fabricantes","Prof. Industriais e comerciais_Comerciantes, guarda-livros e caixeiros","Prof. Manuais e Mec._Costureiras","Prof. Manuais e Mec._canteiros, calcoteiros, mineiros e cavouqueiros","Prof. Manuais e Mec._em metais","Prof. Manuais e Mec._em madeiras","Prof. Manuais e Mec._em tecidos","Prof. Manuais e Mec._de edificações","Prof. Manuais e Mec._em couros e peles","Prof. Manuais e Mec._em tinturaria","Prof. Manuais e Mec._de vestuários","Prof. Manuais e Mec._de chapéus","Prof. Manuais e Mec._de calçado","Prof. Agric._Lavradores","Prof. Agric._Criadores","Outras ocupações_Criados e jornaleiros","Outras ocupações_Serviço doméstico","Sem profissão_Sem profissão","Outras ocupações_S./ Inf."
"717",5,"Ceará",540,"Arneiroz","Total Livres",4192,1357,2175,438,222,2732,1413,47,4192,0,4191,1,365,3827,79,894,0,9,3,35,4,8,73,31,7,15,12,6,13,10,11,14,18,4,16,85,142,131,117,160,525,448,471,412,443,493,325,210,71,17,9,2,5,0,0,0,0,0,0,28,4132,12,9,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,4,2,30,2,0,5,12,30,135,0,0,40,36,1,13,13,0,147,0,51,1555,40,508,83,1481,0
"718",5,"Ceará",540,"Arneiroz","Total Livres",455,0,217,238,0,370,69,16,455,0,455,0,0,455,0,0,102,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,16,27,26,32,55,47,55,54,39,42,28,15,3,2,0,0,0,0,0,0,0,0,0,2,451,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,34,0,0,0,0,0,0,0,0,9,205,157,0
"719",5,"Ceará",540,"Arneiroz","Total Livres",3980,1436,2000,274,270,2279,1560,141,3980,0,3980,0,117,3863,50,1190,0,5,2,12,3,3,13,13,10,13,7,9,9,19,13,12,19,10,9,105,117,158,197,231,692,548,473,315,338,258,219,111,53,20,12,2,1,0,0,0,0,0,0,28,3889,30,3,25,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,53,4,2,684,0,0,0,653,0,0,0,0,0,0,217,89,64,866,1344,0
"720",5,"Ceará",540,"Arneiroz","Total Livres",876,0,444,432,0,693,150,33,876,0,876,0,1,875,0,0,192,3,0,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,24,32,47,41,63,104,88,110,93,84,80,64,31,9,4,2,0,0,0,0,0,0,0,0,2,867,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,4,6,34,1,0,0,0,0,5,88,0,70,309,309,0
"721",5,"Ceará",540,"Arneiroz","Total Livres",8172,2793,4175,712,492,5011,2973,188,8172,0,8171,1,482,7690,129,2084,0,14,5,47,7,11,86,44,17,28,19,15,22,29,24,26,37,14,25,190,259,289,314,391,1217,996,944,727,781,751,544,321,124,37,21,4,6,0,0,0,0,0,0,56,8021,42,12,34,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,8,2,30,2,0,5,65,34,137,684,0,40,36,654,13,13,0,147,0,51,1772,129,572,949,2825,0
"722",5,"Ceará",541,"Assaré","Total",25541,9739,12107,1199,2496,17330,7354,857,25541,0,25526,15,2104,23437,825,6704,220,90,34,200,57,41,114,87,58,47,50,51,53,73,58,52,52,41,25,543,835,790,957,992,4266,3483,2906,2413,2303,2867,1375,697,281,116,51,29,15,62,0,0,0,2,23,86,25084,179,92,22,4,0,4,0,0,0,0,0,0,0,0,0,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,4,0,0,0,2,0,0,0,2,14,10,8,0,0,1,79,0,165,1014,6,31,172,1920,0,65,0,21,0,0,7861,318,355,5396,8091,0
"723",5,"Ceará",541,"Assaré","Total Livres",331,0,244,87,0,309,19,3,331,0,330,1,0,331,0,0,117,5,0,12,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,5,6,10,8,10,64,53,39,36,33,25,24,9,5,1,2,0,1,0,0,0,0,0,1,6,312,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,148,0,39,61,82,0
"724",5,"Ceará",541,"Assaré","Total Livres",12449,4831,5886,480,1252,8548,3657,244,12449,0,12443,6,1600,10849,558,3392,0,50,17,146,38,28,85,54,28,18,23,26,22,41,34,27,26,22,14,302,395,376,472,525,2314,1636,1339,1073,1038,1300,692,392,153,78,28,13,11,31,0,0,0,2,18,49,12211,90,51,15,3,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,4,0,0,0,2,0,0,0,0,11,10,8,0,0,1,51,0,159,0,6,31,171,0,0,65,0,21,0,0,7211,268,307,324,3793,0
"725",5,"Ceará",541,"Assaré","Total Livres",396,0,255,141,0,373,17,6,396,0,393,3,0,396,0,0,103,3,1,8,3,0,1,6,0,0,0,0,0,0,0,0,0,0,0,3,8,9,22,13,60,43,55,27,37,33,40,20,8,5,3,3,0,7,0,0,0,0,1,3,372,14,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,18,0,0,0,0,0,0,31,0,7,218,116,0
"726",5,"Ceará",541,"Assaré","Total Livres",12365,4908,5722,491,1244,8100,3661,604,12365,0,12360,5,504,11861,267,3312,0,32,16,34,13,12,28,24,30,29,27,25,31,32,24,25,26,19,11,233,426,395,455,444,1828,1751,1473,1277,1195,1509,619,276,115,32,18,13,3,24,0,0,0,0,3,28,12189,66,38,5,1,0,0,0,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,28,0,6,1008,0,0,0,1902,0,0,0,0,0,0,471,50,2,4793,4100,0
