"";"ProvId";"PrimeiroDeProvincia";"MunicId";"PrimeiroDeMunicipio";"Sexo_Condicao";"Total_Almas";"Raças_Branco";"Raças_Pardo";"Raças_Preto";"Raças_Caboclo";"Estado civil_Solteiro";"Estado civil_Casado";"Estado civil_Viúvo";"Religião_Católicos";"Religião_Acatólico";"Nacionalidade_Brasileira";"Nacionalidade_Estrangeira";"Instrução_Sabem Ler e Escrever";"Instrução_Analfabetos";"Instrução - população escolar de 6 a 15 anos_Frequentam Escola";"Instrução - população escolar de 6 a 15 anos_Não Frequentam Escola";"Instrução - população escolar de 6 a 15 anos_S./ Inf. da Frequência Escolar";"Defeitos físicos_Cegos";"Defeitos físicos_Surdos-Mudos";"Defeitos físicos_Aleijados";"Defeitos físicos_Dementes";"Defeitos físicos_Alienados";"Ausentes_Ausentes";"Transeuntes_Transeuntes";"Faixa Etária_1 mês";"Faixa Etária_2 meses";"Faixa Etária_3 meses";"Faixa Etária_4 meses";"Faixa Etária_5 meses";"Faixa Etária_6 meses";"Faixa Etária_7 meses";"Faixa Etária_8 meses";"Faixa Etária_9 meses";"Faixa Etária_10 meses";"Faixa Etária_11 meses";"Faixa Etária_1 ano";"Faixa Etária_2 anos";"Faixa Etária_3 anos";"Faixa Etária_4 anos";"Faixa Etária_5 anos";"Faixa Etária_6-10 anos";"Faixa Etária_11-15 anos";"Faixa Etária_16-20 anos";"Faixa Etária_21-25 anos";"Faixa Etária_26-30 anos";"Faixa Etária_31-40 anos";"Faixa Etária_41-50 anos";"Faixa Etária_51-60 anos";"Faixa Etária_61-70 anos";"Faixa Etária_71-80 anos";"Faixa Etária_81-90 anos";"Faixa Etária_91-100 anos";"Faixa Etária_Maiores de 100";"Faixa Etária_S/inf.";"Brasileiros segundo origem_Brasileiros adotivos";"Brasileiros segundo origem_Estrang. Naturalizados";"Brasileiros segundo origem_Amazonas";"Brasileiros segundo origem_Pará";"Brasileiros segundo origem_Maranhão";"Brasileiros segundo origem_Piauhy";"Brasileiros segundo origem_Ceará";"Brasileiros segundo origem_Rio Grande do Norte";"Brasileiros segundo origem_Parahyba";"Brasileiros segundo origem_Pernambuco";"Brasileiros segundo origem_Alagoas";"Brasileiros segundo origem_Sergipe";"Brasileiros segundo origem_Bahia";"Brasileiros segundo origem_Espírito Santo";"Brasileiros segundo origem_Rio de Janeiro";"Brasileiros segundo origem_São Paulo";"Brasileiros segundo origem_Paraná";"Brasileiros segundo origem_Santa Catharina";"Brasileiros segundo origem_Rio Grande do Sul";"Brasileiros segundo origem_Minas Geraes";"Brasileiros segundo origem_Goyaz";"Brasileiros segundo origem_Matto Grosso";"Brasileiros segundo origem_S./Inf. de Origem";"Estrangeiros segundo origem_Africanos";"Estrangeiros segundo origem_Alemães";"Estrangeiros segundo origem_Austríacos";"Estrangeiros segundo origem_Argentinos";"Estrangeiros segundo origem_Belgas";"Estrangeiros segundo origem_Bolivianos";"Estrangeiros segundo origem_Chineses";"Estrangeiros segundo origem_Dinamarqueses";"Estrangeiros segundo origem_Franceses";"Estrangeiros segundo origem_Gregos";"Estrangeiros segundo origem_Espanhóis";"Estrangeiros segundo origem_Holandeses";"Estrangeiros segundo origem_Húngaros";"Estrangeiros segundo origem_Ingleses";"Estrangeiros segundo origem_Italianos";"Estrangeiros segundo origem_Japoneses";"Estrangeiros segundo origem_Mexicanos";"Estrangeiros segundo origem_Norte-americanos";"Estrangeiros segundo origem_Orientais";"Estrangeiros segundo origem_Paraguaios";"Estrangeiros segundo origem_Persas";"Estrangeiros segundo origem_Peruanos";"Estrangeiros segundo origem_Portugueses";"Estrangeiros segundo origem_Russos";"Estrangeiros segundo origem_Suissos";"Estrangeiros segundo origem_Suecos";"Estrangeiros segundo origem_Turcos";"Estrangeiros segundo origem_Estrang. S./ Inf.";"Prof. liberais_Seculares (religiosos)";"Prof. liberais_Homens (relig. Regular)";"Prof. liberais_Mulheres (relig. Regular)";"Prof. liberais_Juizes";"Prof. liberais_Advogados";"Prof. liberais_Notários e escrivães";"Prof. liberais_Procuradores";"Prof. liberais_Oficiais de justiça";"Prof. liberais_Médicos";"Prof. liberais_Cirurgiões";"Prof. liberais_Farmacêuticos";"Prof. liberais_Parteiros";"Prof. liberais_Professores e homens de letras";"Prof. liberais_Empregados públicos";"Prof. liberais_Artistas";"Outras ocupações_Militares";"Outras ocupações_Marítimos";"Outras ocupações_Pescadores";"Outras ocupações_Capitalistas e proprietários";"Prof. Industriais e comerciais_Manufatureiros e fabricantes";"Prof. Industriais e comerciais_Comerciantes, guarda-livros e caixeiros";"Prof. Manuais e Mec._Costureiras";"Prof. Manuais e Mec._canteiros, calcoteiros, mineiros e cavouqueiros";"Prof. Manuais e Mec._em metais";"Prof. Manuais e Mec._em madeiras";"Prof. Manuais e Mec._em tecidos";"Prof. Manuais e Mec._de edificações";"Prof. Manuais e Mec._em couros e peles";"Prof. Manuais e Mec._em tinturaria";"Prof. Manuais e Mec._de vestuários";"Prof. Manuais e Mec._de chapéus";"Prof. Manuais e Mec._de calçado";"Prof. Agric._Lavradores";"Prof. Agric._Criadores";"Outras ocupações_Criados e jornaleiros";"Outras ocupações_Serviço doméstico";"Sem profissão_Sem profissão";"Outras ocupações_S./ Inf. "
"4034";15;"São Paulo";1570;"Penha de Mogy-Mirim";"Homem Livre";2287;1263;560;387;77;1590;541;156;2287;0;2224;63;217;2070;31;316;0;1;19;5;9;8;6;8;14;6;8;4;9;12;10;20;12;20;16;38;34;40;56;109;205;142;219;260;188;300;254;125;77;60;26;12;2;9;0;0;0;0;4;1;3;4;0;8;1;3;8;3;55;2071;1;6;11;40;1;3;1;22;6;0;0;0;0;0;0;0;0;2;0;0;1;9;0;0;2;0;3;0;0;18;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;12;0;12;0;0;0;0;14;108;0;0;49;48;0;55;0;0;17;0;42;840;0;20;116;952;0
"4035";15;"São Paulo";1570;"Penha de Mogy-Mirim";"Mulher Escravizada";558;0;142;416;0;497;49;12;558;0;550;8;0;558;0;0;120;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;11;10;8;10;65;55;46;48;56;96;81;27;16;6;1;0;0;4;0;0;1;1;7;0;2;7;0;4;1;0;5;3;28;467;0;0;6;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;226;0;0;136;170;0
"4036";15;"São Paulo";1570;"Penha de Mogy-Mirim";"Mulher Livre";2310;1250;596;362;102;1593;534;183;2310;0;2301;9;60;2250;12;395;0;1;14;0;7;0;1;1;23;15;12;13;22;23;21;20;25;31;41;45;43;49;57;44;220;187;196;216;197;266;276;130;76;27;10;5;4;16;0;0;1;1;4;1;3;1;2;5;2;2;7;4;26;2179;1;9;7;40;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;3;0;0;0;2;0;0;0;0;0;0;54;0;0;0;0;0;0;952;5;0;643;642;0
"4037";15;"São Paulo";1570;"Penha de Mogy-Mirim";"Total";5895;2513;1487;1716;179;4368;1164;363;5895;0;5793;102;277;5618;43;711;215;4;34;9;18;11;7;9;37;21;20;17;31;35;31;40;37;51;57;125;97;109;137;185;522;447;560;600;528;752;694;332;201;123;46;19;6;35;0;0;2;2;20;2;9;16;3;19;5;5;23;12;144;5351;2;16;32;118;1;9;2;28;6;0;0;0;0;0;0;0;0;2;0;0;1;9;0;0;2;0;3;0;0;21;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;14;0;15;0;0;0;2;14;108;0;0;49;48;80;62;0;0;17;0;42;2436;5;20;1015;1959;0
"4038";15;"São Paulo";1570;"Penha de Mogy-Mirim";"Total Livres";1298;0;331;967;0;1185;89;24;1298;0;1268;30;0;1298;0;0;215;2;1;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;42;20;20;24;32;97;118;145;124;143;186;164;77;48;36;10;2;0;10;0;0;1;1;12;0;3;11;1;6;2;0;8;5;63;1101;0;1;14;38;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;7;0;0;0;0;0;644;0;0;256;365;0
"4039";15;"São Paulo";1570;"Penha de Mogy-Mirim";"Total Livres";4597;2513;1156;749;179;3183;1075;339;4597;0;4525;72;277;4320;43;711;0;2;33;5;16;8;7;9;37;21;20;17;31;35;31;40;37;51;57;83;77;89;113;153;425;329;415;476;385;566;530;255;153;87;36;17;6;25;0;0;1;1;8;2;6;5;2;13;3;5;15;7;81;4250;2;15;18;80;1;9;1;28;6;0;0;0;0;0;0;0;0;2;0;0;1;9;0;0;2;0;3;0;0;21;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;7;14;0;15;0;0;0;2;14;108;0;0;49;48;54;55;0;0;17;0;42;1792;5;20;759;1594;0
"4040";15;"São Paulo";1549;"Piedade";"Homem Escravizado";151;0;40;111;0;100;42;9;151;0;141;10;1;150;0;0;28;0;3;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;4;2;5;22;6;14;13;11;28;24;7;4;1;0;1;0;0;0;0;0;0;0;1;0;3;0;1;0;0;1;1;10;110;0;0;5;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;0;0;0;0;2;0;2;71;0;0;32;36;0
"4041";15;"São Paulo";1549;"Piedade";"Homem Livre";2260;1025;670;358;207;1353;670;237;2260;0;2242;18;260;2000;52;328;0;0;6;11;5;1;0;0;19;12;10;9;9;15;13;15;22;18;9;29;28;31;31;42;230;150;141;173;202;444;428;79;48;31;14;7;1;0;0;0;1;0;0;1;3;11;2;3;0;1;3;5;50;2079;2;5;12;59;2;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;0;0;7;0;0;2;0;0;0;4;6;9;3;0;0;0;8;17;0;0;14;14;0;0;0;0;6;0;4;1012;0;0;659;493;0
"4042";15;"São Paulo";1549;"Piedade";"Mulher Escravizada";155;0;51;104;0;105;36;14;155;0;152;3;2;153;0;0;19;2;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;3;5;3;7;12;7;10;9;12;30;26;10;5;2;0;0;0;6;0;0;0;0;0;0;9;0;0;0;0;0;0;5;14;112;0;0;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;0;0;70;0;0;57;20;0
"4043";15;"São Paulo";1549;"Piedade";"Mulher Livre";2246;1028;636;363;219;1315;626;305;2246;0;2234;12;75;2171;23;320;0;2;9;4;3;1;0;0;17;10;11;12;22;16;12;16;22;24;12;19;21;22;26;23;202;141;171;145;185;428;359;155;92;49;20;8;0;6;0;0;0;1;3;1;3;6;5;5;1;2;7;4;42;2085;1;7;3;52;1;5;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;5;0;0;0;0;4;2;0;0;0;0;25;0;0;0;6;0;3;954;0;0;952;287;0
"4044";15;"São Paulo";1549;"Piedade";"Total";4812;2053;1397;936;426;2873;1374;565;4812;0;4769;43;338;4474;75;648;47;4;25;27;10;2;0;0;36;22;21;21;31;31;25;31;44;42;21;62;55;62;62;77;466;304;336;340;410;930;837;251;149;83;34;16;1;12;0;0;1;1;3;3;15;20;7;9;1;3;11;15;116;4386;3;12;27;125;3;8;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;16;0;0;0;0;0;2;0;0;0;0;7;0;0;2;0;0;6;6;6;14;3;0;0;0;12;19;0;0;19;17;31;0;0;0;16;0;9;2107;0;0;1700;836;0
"4045";15;"São Paulo";1549;"Piedade";"Total Livres";306;0;91;215;0;205;78;23;306;0;293;13;3;303;0;0;47;2;10;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;6;9;5;12;34;13;24;22;23;58;50;17;9;3;0;1;0;6;0;0;0;0;0;1;9;3;0;1;0;0;1;6;24;222;0;0;12;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;3;6;0;0;0;4;0;2;141;0;0;89;56;0
"4046";15;"São Paulo";1549;"Piedade";"Total Livres";4506;2053;1306;721;426;2668;1296;542;4506;0;4476;30;335;4171;75;648;0;2;15;15;8;2;0;0;36;22;21;21;31;31;25;31;44;42;21;48;49;53;57;65;432;291;312;318;387;872;787;234;140;80;34;15;1;6;0;0;1;1;3;2;6;17;7;8;1;3;10;9;92;4164;3;12;15;111;3;8;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;16;0;0;0;0;0;2;0;0;0;0;7;0;0;2;0;0;6;6;6;14;3;0;0;0;12;19;0;0;14;14;25;0;0;0;12;0;7;1966;0;0;1611;780;0
